x,y,v
-8823.34,13789.8,4934.3
-8960.79,13700.9,4934.3
-9097.35,13610.6,4934.3
-9233,13518.9,4934.3
-9367.72,13425.9,4934.3
-9501.51,13331.6,4934.3
-9634.35,13235.9,4934.3
-9766.23,13138.9,4934.3
-9897.13,13040.6,4934.3
-10027,12941,4934.3
-10155.9,12840,4934.3
-10283.8,12737.8,4934.3
-10410.7,12634.4,4934.3
-10536.5,12529.6,4934.3
-10661.3,12423.6,4934.3
-10785,12316.4,4934.3
-10907.6,12207.9,4934.3
-11029.1,12098.3,4934.3
-11149.6,11987.4,4934.3
-11268.9,11875.3,4934.3
-11387.1,11762,4934.3
-11504.1,11647.5,4934.3
-11620,11531.9,4934.3
-11734.8,11415.1,4934.3
-11848.3,11297.2,4934.3
-11960.7,11178.2,4934.3
-12071.9,11058,4934.3
-12181.8,10936.7,4934.3
-12290.6,10814.4,4934.3
-12398.1,10690.9,4934.3
-12504.4,10566.4,4934.3
-12609.5,10440.8,4934.3
-12713.2,10314.2,4934.3
-12815.7,10186.6,4934.3
-12917,10057.9,4934.3
-13016.9,9928.25,4934.3
-13115.5,9797.59,4934.3
-13212.8,9665.94,4934.3
-13308.8,9533.34,4934.3
-13403.5,9399.77,4934.3
-13496.8,9265.27,4934.3
-13588.8,9129.84,4934.3
-13679.4,8993.5,4934.3
-13768.7,8856.26,4934.3
-13856.5,8718.13,4934.3
-13943,8579.13,4934.3
-14028.1,8439.27,4934.3
-14111.8,8298.57,4934.3
-14194.1,8157.04,4934.3
-14275,8014.69,4934.3
-14354.4,7871.55,4934.3
-14432.4,7727.61,4934.3
-14508.9,7582.9,4934.3
-14584,7437.44,4934.3
-14657.7,7291.23,4934.3
-14729.9,7144.29,4934.3
-14800.6,6996.64,4934.3
-14869.8,6848.28,4934.3
-14937.5,6699.25,4934.3
-15003.8,6549.54,4934.3
-15068.5,6399.17,4934.3
-15131.8,6248.17,4934.3
-15193.5,6096.54,4934.3
-15253.7,5944.31,4934.3
-15312.4,5791.48,4934.3
-15369.5,5638.07,4934.3
-15425.1,5484.09,4934.3
-15479.2,5329.57,4934.3
-15531.7,5174.51,4934.3
-15582.7,5018.94,4934.3
-15632.1,4862.86,4934.3
-15679.9,4706.3,4934.3
-15726.2,4549.27,4934.3
-15770.9,4391.78,4934.3
-15814,4233.86,4934.3
-15855.6,4075.51,4934.3
-15895.6,3916.75,4934.3
-15933.9,3757.6,4934.3
-15970.7,3598.08,4934.3
-16005.9,3438.19,4934.3
-16039.5,3277.97,4934.3
-16071.4,3117.41,4934.3
-16101.8,2956.54,4934.3
-16130.6,2795.38,4934.3
-16157.7,2633.94,4934.3
-16183.3,2472.23,4934.3
-16207.2,2310.28,4934.3
-16229.5,2148.09,4934.3
-16250.1,1985.69,4934.3
-16269.2,1823.09,4934.3
-16286.6,1660.31,4934.3
-16302.4,1497.37,4934.3
-16316.5,1334.27,4934.3
-16329.1,1171.04,4934.3
-16340,1007.7,4934.3
-16349.2,844.249,4934.3
-16356.8,680.717,4934.3
-16362.8,517.117,4934.3
-16367.2,353.466,4934.3
-16369.9,189.779,4934.3
-16371,26.0733,4934.3
-16370.4,-137.635,4934.3
-16368.2,-301.33,4934.3
-16364.4,-464.994,4934.3
-16358.9,-628.612,4934.3
-16351.8,-792.167,4934.3
-16343.1,-955.643,4934.3
-16332.7,-1119.02,4934.3
-16320.7,-1282.29,4934.3
-16307.1,-1445.43,4934.3
-16291.8,-1608.43,4934.3
-16274.9,-1771.26,4934.3
-16256.4,-1933.92,4934.3
-16236.2,-2096.38,4934.3
-16214.4,-2258.64,4934.3
-16191,-2420.67,4934.3
-16166,-2582.45,4934.3
-16139.4,-2743.98,4934.3
-16111.2,-2905.24,4934.3
-16081.3,-3066.2,4934.3
-16049.8,-3226.86,4934.3
-16016.8,-3387.19,4934.3
-15982.1,-3547.19,4934.3
-15945.8,-3706.83,4934.3
-15908,-3866.1,4934.3
-15868.5,-4024.98,4934.3
-15827.5,-4183.46,4934.3
-15784.8,-4341.53,4934.3
-15740.6,-4499.15,4934.3
-15694.8,-4656.33,4934.3
-15647.5,-4813.05,4934.3
-15598.6,-4969.28,4934.3
-15548.1,-5125.01,4934.3
-15496.1,-5280.24,4934.3
-15442.5,-5434.93,4934.3
-15387.4,-5589.08,4934.3
-15330.7,-5742.67,4934.3
-15272.5,-5895.69,4934.3
-15212.8,-6048.12,4934.3
-15151.6,-6199.94,4934.3
-15088.8,-6351.14,4934.3
-15024.6,-6501.71,4934.3
-14958.8,-6651.63,4934.3
-14891.5,-6800.88,4934.3
-14822.8,-6949.46,4934.3
-14752.5,-7097.33,4934.3
-14680.8,-7244.5,4934.3
-14607.7,-7390.95,4934.3
-14533,-7536.65,4934.3
-14456.9,-7681.6,4934.3
-14379.4,-7825.78,4934.3
-14300.4,-7969.18,4934.3
-14220,-8111.79,4934.3
-14138.2,-8253.58,4934.3
-14054.9,-8394.55,4934.3
-13970.3,-8534.67,4934.3
-13884.2,-8673.95,4934.3
-13796.8,-8812.35,4934.3
-13708,-8949.88,4934.3
-13617.8,-9086.51,4934.3
-13526.3,-9222.23,4934.3
-13433.4,-9357.03,4934.3
-13339.1,-9490.89,4934.3
-13243.6,-9623.81,4934.3
-13146.7,-9755.76,4934.3
-13048.5,-9886.74,4934.3
-12948.9,-10016.7,4934.3
-12848.1,-10145.7,4934.3
-12746,-10273.7,4934.3
-12642.6,-10400.6,4934.3
-12538,-10526.5,4934.3
-12432.1,-10651.4,4934.3
-12325,-10775.2,4934.3
-12216.6,-10897.9,4934.3
-12107,-11019.5,4934.3
-11996.2,-11140,4934.3
-11884.2,-11259.4,4934.3
